Task: 1| Test Name: Product image for item #4 is displayed                 | DOM Id: product_6           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #4 is displayed                          | DOM Id: H3____311           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #4 is NOT displayed   | DOM Id: A__tooltip__316     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #4 is NOT displayed     | DOM Id: A__tooltip__320     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to cart' icon for item #4 is NOT displayed        | DOM Id: A__tooltip__324     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product image for item #5 is displayed                 | DOM Id: product_7           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #5 is displayed                          | DOM Id: H3____333           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #5 is NOT displayed   | DOM Id: A__tooltip__338     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #5 is NOT displayed     | DOM Id: A__tooltip__342     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to cart' icon for item #5 is NOT displayed        | DOM Id: A__tooltip__346     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product image for item #6 is displayed                 | DOM Id: product_8           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #6 is displayed                          | DOM Id: H3____355           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #6 is NOT displayed   | DOM Id: A__tooltip__360     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #6 is NOT displayed     | DOM Id: A__tooltip__364     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to cart' icon for item #6 is NOT displayed        | DOM Id: A__tooltip__368     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product image for item #7 is displayed                 | DOM Id: product_2           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #7 is displayed                          | DOM Id: H3____379           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #7 is NOT displayed   | DOM Id: A__tooltip__385     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #7 is NOT displayed     | DOM Id: A__tooltip__389     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to cart' icon for item #7 is NOT displayed        | DOM Id: A__tooltip__393     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product image for item #8 is displayed                 | DOM Id: product_9           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #8 is displayed                          | DOM Id: H3____402           | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #8 is NOT displayed   | DOM Id: A__tooltip__407     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #8 is NOT displayed     | DOM Id: A__tooltip__411     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to cart' icon for item #8 is NOT displayed        | DOM Id: A__tooltip__415     | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'QUICK LINKS' section is displayed                     | DOM Id: collapse_1          | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'CONTACTS' section is displayed                        | DOM Id: collapse_3          | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Your email' input field is displayed                  | DOM Id: email_newsletter    | Browser: firefox       | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Search input field is displayed                        | DOM Id: DIV__customsear__41 | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Top Navigation menu is displayed                       | DOM Id: DIV__mainmenu__15   | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Side-bar Filters pane is displayed                     | DOM Id: filter_col          | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product grid is displayed                              | DOM Id: product_grid        | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Filters button is NOT displayed                        | DOM Id: A__openfilter__207  | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: FAIL 
Task: 1| Test Name: Grid View button is displayed                          | DOM Id: I__tiviewgrid__203  | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: List View button is displayed                          | DOM Id: I__tiviewlist__205  | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product image for item #0 is displayed                 | DOM Id: product_1           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #0 is displayed                          | DOM Id: H3____219           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #0 is NOT displayed   | DOM Id: A__tooltip__225     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #0 is NOT displayed     | DOM Id: A__tooltip__229     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to cart' icon for item #0 is NOT displayed        | DOM Id: A__tooltip__233     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product image for item #1 is displayed                 | DOM Id: product_3           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #1 is displayed                          | DOM Id: H3____244           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #1 is NOT displayed   | DOM Id: A__tooltip__250     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #1 is NOT displayed     | DOM Id: A__tooltip__254     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to cart' icon for item #1 is NOT displayed        | DOM Id: A__tooltip__258     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product image for item #2 is displayed                 | DOM Id: product_4           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #2 is displayed                          | DOM Id: H3____267           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #2 is NOT displayed   | DOM Id: A__tooltip__272     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #2 is NOT displayed     | DOM Id: A__tooltip__276     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to cart' icon for item #2 is NOT displayed        | DOM Id: A__tooltip__280     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product image for item #3 is displayed                 | DOM Id: product_5           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #3 is displayed                          | DOM Id: H3____289           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #3 is NOT displayed   | DOM Id: A__tooltip__294     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #3 is NOT displayed     | DOM Id: A__tooltip__298     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to cart' icon for item #3 is NOT displayed        | DOM Id: A__tooltip__302     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Product image for item #4 is displayed                 | DOM Id: product_6           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: Name for item #4 is displayed                          | DOM Id: H3____311           | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to favorites' icon for item #4 is NOT displayed   | DOM Id: A__tooltip__316     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
Task: 1| Test Name: 'Add to compare' icon for item #4 is NOT displayed     | DOM Id: A__tooltip__320     | Browser: MicrosoftEdge | Viewport: (1200, 700) | Device: Laptop| Status: PASS 
